rsid,sid,ref,site,site.yw,panel,plot1,plot2
158822939,700014965,FALSE,saliva,saliva83,both,1,1
159369152,700015861,FALSE,saliva,saliva83,both,1,1
159247771,700015991,FALSE,saliva,saliva83,both,1,1
158964549,700016036,FALSE,saliva,saliva83,both,1,1
159328691,700016377,FALSE,saliva,saliva83,both,1,1
159227541,700016546,FALSE,saliva,saliva83,both,1,1
159288231,700016696,FALSE,saliva,saliva83,both,1,1
159389382,700016906,FALSE,saliva,saliva83,both,1,1
159571453,700016972,FALSE,saliva,saliva83,both,1,1
763638144,700023180,FALSE,saliva,saliva83,both,1,1
763719065,700023380,FALSE,saliva,saliva83,both,1,1
763921366,700023437,FALSE,saliva,saliva83,both,1,1
764002286,700023494,FALSE,saliva,saliva83,both,1,1
763880905,700023589,FALSE,saliva,saliva83,both,1,1
764143897,700023862,FALSE,saliva,saliva83,both,1,1
764184357,700023976,FALSE,saliva,saliva83,both,1,1
764285508,700024190,FALSE,saliva,saliva83,both,1,1
764467579,700024339,FALSE,saliva,saliva83,both,1,1
764325968,700024594,FALSE,saliva,saliva83,both,1,1
764447348,700024636,FALSE,saliva,saliva83,both,1,1
764649650,700024855,FALSE,saliva,saliva83,both,1,1
764669880,700024917,FALSE,saliva,saliva83,both,1,1
159753524,700032226,FALSE,saliva,saliva83,both,1,1
159915365,700032320,FALSE,saliva,saliva83,both,1,1
160036745,700032425,FALSE,saliva,saliva83,both,1,1
159733294,700033134,FALSE,saliva,saliva83,both,1,1
159611913,700033563,FALSE,saliva,saliva83,both,1,1
160340197,700034028,FALSE,saliva,saliva83,both,1,1
160481808,700034085,FALSE,saliva,saliva83,both,1,1
160319967,700034170,FALSE,saliva,saliva83,both,1,1
160502038,700034236,FALSE,saliva,saliva83,both,1,1
160239046,700035301,FALSE,saliva,saliva83,both,1,1
160056975,700035377,FALSE,saliva,saliva83,both,1,1
160137896,700035639,FALSE,saliva,saliva83,both,1,1
160380657,700035732,FALSE,saliva,saliva83,both,1,1
160178356,700035789,FALSE,saliva,saliva83,both,1,1
765094712,700037032,FALSE,saliva,saliva83,both,1,1
765155402,700037075,FALSE,saliva,saliva83,both,1,1
765013792,700037124,FALSE,saliva,saliva83,both,1,1
765135172,700037237,FALSE,saliva,saliva83,both,1,1
765701615,700038393,FALSE,saliva,saliva83,both,1,1
508703490,700038742,FALSE,saliva,saliva83,both,1,1
370027359,700038957,FALSE,saliva,saliva42,plot2.only,0,1
160643649,700095217,FALSE,saliva,saliva42,plot2.only,0,1
160825720,700095778,FALSE,saliva,saliva42,plot2.only,0,1
160845950,700095835,FALSE,saliva,saliva42,plot2.only,0,1
160906640,700095960,FALSE,saliva,saliva42,plot2.only,0,1
160886410,700096271,FALSE,saliva,saliva42,plot2.only,0,1
160765029,700096365,FALSE,saliva,saliva42,plot2.only,0,1
161068481,700096422,FALSE,saliva,saliva42,plot2.only,0,1
161028021,700097004,FALSE,saliva,saliva42,plot2.only,0,1
160967330,700097120,FALSE,saliva,saliva42,plot2.only,0,1
161331472,700097361,FALSE,saliva,saliva42,plot2.only,0,1
161270782,700097574,FALSE,saliva,saliva42,plot2.only,0,1
161554003,700097758,FALSE,saliva,saliva42,plot2.only,0,1
970836795,700097976,FALSE,saliva,saliva42,plot2.only,0,1
809635352,700098433,FALSE,saliva,saliva42,plot2.only,0,1
432193348,700098603,FALSE,saliva,saliva42,plot2.only,0,1
370425937,700098673,FALSE,saliva,saliva42,plot2.only,0,1
650853796,700098870,FALSE,saliva,saliva42,plot2.only,0,1
206906765,700099446,FALSE,saliva,saliva42,plot2.only,0,1
246515023,700099516,FALSE,saliva,saliva42,plot2.only,0,1
892969023,700099960,FALSE,saliva,saliva42,plot2.only,0,1
368533040,700102047,FALSE,saliva,saliva42,plot2.only,0,1
414519462,700102117,FALSE,saliva,saliva42,plot2.only,0,1
604812005,700102303,FALSE,saliva,saliva42,plot2.only,0,1
937415040,700102523,FALSE,saliva,saliva42,plot2.only,0,1
840279516,700102663,FALSE,saliva,saliva42,plot2.only,0,1
682449369,700103279,FALSE,saliva,saliva42,plot2.only,0,1
132902142,700103488,FALSE,saliva,saliva42,plot2.only,0,1
863126187,700103564,FALSE,saliva,saliva42,plot2.only,0,1
612472597,700105154,FALSE,saliva,saliva42,plot2.only,0,1
953045535,700105621,FALSE,saliva,saliva42,plot2.only,0,1
375450439,700105780,FALSE,saliva,saliva42,plot2.only,0,1
465578759,700105973,FALSE,saliva,saliva42,plot2.only,0,1
737052003,700106066,FALSE,saliva,saliva42,plot2.only,0,1
553359145,700106494,FALSE,saliva,saliva42,plot2.only,0,1
275382046,700106985,FALSE,saliva,saliva42,plot2.only,0,1
686765762,700107193,FALSE,saliva,saliva42,plot2.only,0,1
257905678,700111160,FALSE,saliva,saliva42,plot2.only,0,1
866653606,700111226,FALSE,saliva,saliva42,plot2.only,0,1
763721271,700111300,FALSE,saliva,saliva42,plot2.only,0,1
937495960,700111578,FALSE,saliva,saliva42,plot2.only,0,1
158822939,700015001,FALSE,skin,skin,both,1,1
159369152,700015873,FALSE,skin,skin,both,1,1
158964549,700016048,FALSE,skin,skin,both,1,1
159288231,700016708,FALSE,skin,skin,both,1,1
763638144,700023172,FALSE,skin,skin,both,1,1
763719065,700023393,FALSE,skin,skin,both,1,1
764002286,700023507,FALSE,skin,skin,both,1,1
763880905,700023600,FALSE,skin,skin,both,1,1
764143897,700023875,FALSE,skin,skin,both,1,1
764325968,700024590,FALSE,skin,skin,both,1,1
764588959,700024735,FALSE,skin,skin,both,1,1
764649650,700024849,FALSE,skin,skin,both,1,1
764669880,700024905,FALSE,skin,skin,both,1,1
765074482,700024953,FALSE,skin,skin,both,1,1
159753524,700032238,FALSE,skin,skin,both,1,1
159915365,700032332,FALSE,skin,skin,both,1,1
160036745,700032461,FALSE,skin,skin,both,1,1
159247771,700033027,FALSE,skin,skin,both,1,1
159733294,700033146,FALSE,skin,skin,both,1,1
159611913,700033575,FALSE,skin,skin,both,1,1
160340197,700034040,FALSE,skin,skin,both,1,1
160481808,700034097,FALSE,skin,skin,both,1,1
160319967,700034182,FALSE,skin,skin,both,1,1
160239046,700035312,FALSE,skin,skin,both,1,1
160137896,700035651,FALSE,skin,skin,both,1,1
160380657,700035744,FALSE,skin,skin,both,1,1
764710340,700037006,FALSE,skin,skin,both,1,1
765094712,700037029,FALSE,skin,skin,both,1,1
765135172,700037249,FALSE,skin,skin,both,1,1
765216093,700037354,FALSE,skin,skin,both,1,1
765276783,700037402,FALSE,skin,skin,both,1,1
765519544,700037903,FALSE,skin,skin,both,1,1
370027359,700038953,FALSE,skin,skin,both,1,1
160845950,700095847,FALSE,skin,skin,both,1,1
160886410,700096282,FALSE,skin,skin,both,1,1
160765029,700096377,FALSE,skin,skin,both,1,1
161068481,700096434,FALSE,skin,skin,both,1,1
161028021,700097016,FALSE,skin,skin,both,1,1
161331472,700097373,FALSE,skin,skin,both,1,1
161270782,700097586,FALSE,skin,skin,both,1,1
161554003,700097770,FALSE,skin,skin,both,1,1
970836795,700097988,FALSE,skin,skin,both,1,1
809635352,700098445,FALSE,skin,skin,both,1,1
432193348,700098615,FALSE,skin,skin,both,1,1
370425937,700098685,FALSE,skin,skin,both,1,1
206906765,700099458,FALSE,skin,skin,both,1,1
246515023,700099528,FALSE,skin,skin,both,1,1
892969023,700099972,FALSE,skin,skin,both,1,1
368533040,700102059,FALSE,skin,skin,both,1,1
414519462,700102129,FALSE,skin,skin,both,1,1
604812005,700102315,FALSE,skin,skin,both,1,1
937415040,700102535,FALSE,skin,skin,both,1,1
132902142,700103482,FALSE,skin,skin,both,1,1
178713055,700105033,FALSE,skin,skin,both,1,1
256789458,700105090,FALSE,skin,skin,both,1,1
612472597,700105147,FALSE,skin,skin,both,1,1
953045535,700105616,FALSE,skin,skin,both,1,1
823052294,700106173,FALSE,skin,skin,both,1,1
275382046,700106982,FALSE,skin,skin,both,1,1
866653606,700111238,FALSE,skin,skin,both,1,1
763721271,700111312,FALSE,skin,skin,both,1,1
875002022,700114552,FALSE,skin,skin,both,1,1